record_id,timestamp,agitator_tag,gearbox_tag,motor_tag,component,measurement_type,item_description,unit,source_value,operating_state,record_note
LOG-00084,2026-07-05 16:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,heat-up,historian point
LOG-00085,2026-07-05 16:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,heat-up,historian point
LOG-00086,2026-07-05 17:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.4,recirculation,historian point
LOG-00087,2026-07-05 17:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.85,recirculation,historian point
LOG-00088,2026-07-05 17:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.1,recirculation,historian point
LOG-00089,2026-07-05 17:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00090,2026-07-05 17:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,recirculation,historian point
LOG-00091,2026-07-05 18:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.4,batch hold,historian point
LOG-00092,2026-07-05 18:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.86,batch hold,historian point
LOG-00093,2026-07-05 18:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.2,batch hold,historian point
LOG-00094,2026-07-05 18:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,batch hold,historian point
LOG-00095,2026-07-05 18:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,batch hold,historian point
LOG-00096,2026-07-05 19:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.3,batch hold,historian point
LOG-00097,2026-07-05 19:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.87,batch hold,historian point
LOG-00098,2026-07-05 19:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.3,batch hold,historian point
LOG-00099,2026-07-05 19:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,batch hold,historian point
LOG-00100,2026-07-05 19:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,batch hold,historian point
LOG-00101,2026-07-05 20:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.3,batch hold,historian point
LOG-00102,2026-07-05 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.87,batch hold,historian point
LOG-00103,2026-07-05 20:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.4,batch hold,historian point
LOG-00104,2026-07-05 20:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,batch hold,historian point
LOG-00105,2026-07-05 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,batch hold,historian point
LOG-00106,2026-07-05 21:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.3,batch hold,historian point
LOG-00107,2026-07-05 21:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.87,batch hold,historian point
LOG-00108,2026-07-05 21:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.5,batch hold,historian point
LOG-00109,2026-07-05 21:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,batch hold,historian point
LOG-00110,2026-07-05 21:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.8,batch hold,historian point
LOG-00111,2026-07-05 22:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.2,batch hold,historian point
LOG-00112,2026-07-05 22:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.86,batch hold,historian point
LOG-00113,2026-07-05 22:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.5,batch hold,historian point
LOG-00114,2026-07-05 22:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,batch hold,historian point
LOG-00115,2026-07-05 22:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.8,batch hold,historian point
LOG-00116,2026-07-05 23:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.1,batch hold,historian point
LOG-00117,2026-07-05 23:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.86,batch hold,historian point
LOG-00118,2026-07-05 23:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.5,batch hold,historian point
LOG-00119,2026-07-05 23:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,batch hold,historian point
LOG-00120,2026-07-05 23:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.7,batch hold,historian point
LOG-00121,2026-07-06 00:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.0,recirculation,historian point
LOG-00122,2026-07-06 00:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.85,recirculation,historian point
LOG-00123,2026-07-06 00:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.6,recirculation,historian point
LOG-00124,2026-07-06 00:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00125,2026-07-06 00:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.7,recirculation,historian point
LOG-00126,2026-07-06 01:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.9,recirculation,historian point
LOG-00127,2026-07-06 01:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.83,recirculation,historian point
LOG-00128,2026-07-06 01:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.6,recirculation,historian point
LOG-00129,2026-07-06 01:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00130,2026-07-06 01:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.6,recirculation,historian point
LOG-00131,2026-07-06 02:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.8,recirculation,historian point
LOG-00132,2026-07-06 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.82,recirculation,historian point
LOG-00133,2026-07-06 02:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.5,recirculation,historian point
LOG-00134,2026-07-06 02:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00135,2026-07-06 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.5,recirculation,historian point
LOG-00136,2026-07-06 03:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.7,recirculation,historian point
LOG-00137,2026-07-06 03:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.80,recirculation,historian point
LOG-00138,2026-07-06 03:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.5,recirculation,historian point
LOG-00139,2026-07-06 03:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00140,2026-07-06 03:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.5,recirculation,historian point
LOG-00141,2026-07-06 04:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.6,recirculation,historian point
LOG-00142,2026-07-06 04:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.78,recirculation,historian point
LOG-00143,2026-07-06 04:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.5,recirculation,historian point
LOG-00144,2026-07-06 04:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00145,2026-07-06 04:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.4,recirculation,historian point
LOG-00146,2026-07-06 05:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.5,recirculation,historian point
LOG-00147,2026-07-06 05:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.76,recirculation,historian point
LOG-00148,2026-07-06 05:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.4,recirculation,historian point
LOG-00149,2026-07-06 05:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00150,2026-07-06 05:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.4,recirculation,historian point
LOG-00151,2026-07-06 06:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.4,recirculation,historian point
LOG-00152,2026-07-06 06:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.73,recirculation,historian point
LOG-00153,2026-07-06 06:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.3,recirculation,historian point
LOG-00154,2026-07-06 06:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00155,2026-07-06 06:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.3,recirculation,historian point
LOG-00156,2026-07-06 07:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.3,recirculation,historian point
LOG-00157,2026-07-06 07:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.71,recirculation,historian point
LOG-00158,2026-07-06 07:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.2,recirculation,historian point
LOG-00159,2026-07-06 07:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.9,recirculation,historian point
LOG-00160,2026-07-06 07:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.3,recirculation,historian point
LOG-00161,2026-07-06 08:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.2,recirculation,historian point
LOG-00162,2026-07-06 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.68,recirculation,historian point
LOG-00163,2026-07-06 08:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.1,recirculation,historian point
LOG-00164,2026-07-06 08:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,recirculation,historian point
LOG-00165,2026-07-06 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.3,recirculation,historian point
LOG-00166,2026-07-06 09:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.1,recirculation,historian point
LOG-00167,2026-07-06 09:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.66,recirculation,historian point
LOG-00168,2026-07-06 09:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,92.0,recirculation,historian point
LOG-00169,2026-07-06 09:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,recirculation,historian point
LOG-00170,2026-07-06 09:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.2,recirculation,historian point
LOG-00171,2026-07-06 10:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.0,heat-up,historian point
LOG-00172,2026-07-06 10:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.63,heat-up,historian point
