record_id,record_date,agitator_tag,gearbox_tag,motor_tag,component,record_type,item_description,unit,source_value,permit_reference,closeout_reference,record_note
CTR-0043,2026-07-10 21:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0044,2026-07-10 22:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0045,2026-07-10 22:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0046,2026-07-10 23:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0047,2026-07-10 23:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0048,2026-07-11 00:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0049,2026-07-11 00:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0050,2026-07-11 01:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0051,2026-07-11 01:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0052,2026-07-11 02:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0053,2026-07-11 02:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0054,2026-07-11 03:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0055,2026-07-11 03:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0056,2026-07-11 04:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0057,2026-07-11 04:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0058,2026-07-11 05:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0059,2026-07-11 05:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0060,2026-07-11 06:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0061,2026-07-11 06:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0062,2026-07-11 07:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0063,2026-07-11 07:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0064,2026-07-11 08:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0065,2026-07-11 08:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0066,2026-07-11 09:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0067,2026-07-11 09:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0068,2026-07-11 10:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0069,2026-07-11 10:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0070,2026-07-11 11:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0071,2026-07-11 11:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0072,2026-07-11 12:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0073,2026-07-11 12:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0074,2026-07-11 13:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.56,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0075,2026-07-11 13:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0076,2026-07-11 14:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0077,2026-07-11 14:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0078,2026-07-11 15:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0079,2026-07-11 15:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0080,2026-07-11 16:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0081,2026-07-11 16:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0082,2026-07-11 17:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0083,2026-07-11 17:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0084,2026-07-11 18:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0085,2026-07-11 18:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0086,2026-07-11 19:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0087,2026-07-11 19:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0088,2026-07-11 20:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0089,2026-07-11 20:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0090,2026-07-11 21:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0091,2026-07-11 21:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0092,2026-07-11 22:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0093,2026-07-11 22:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0094,2026-07-11 23:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0095,2026-07-11 23:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0096,2026-07-12 00:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0097,2026-07-12 00:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0098,2026-07-12 01:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0099,2026-07-12 01:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0100,2026-07-12 02:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0101,2026-07-12 02:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0102,2026-07-12 03:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0103,2026-07-12 03:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0104,2026-07-12 04:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0105,2026-07-12 04:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0106,2026-07-12 05:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0107,2026-07-12 05:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0108,2026-07-12 06:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0109,2026-07-12 06:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0110,2026-07-12 07:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0111,2026-07-12 07:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.14,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0112,2026-07-12 08:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0113,2026-07-12 08:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0114,2026-07-12 09:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0115,2026-07-12 09:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0116,2026-07-12 10:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0117,2026-07-12 10:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0118,2026-07-12 11:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0119,2026-07-12 11:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0120,2026-07-12 12:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
